numero;nom;partie;nombre;pourcentage
Blancs: 2 soit: 1.08% Nuls:7 soit: 3.78%;1; RAZAFINJOELINA Tahina;FTT
4 2.27%;2; ANDRIANAINARIVELO Hajo Herivelona;MMM
3 1.70%;3; RAJOELINA Andry Nirina;TGV
124 70.45%;4; RATSIRAKA Iarovana Roland;MTS
1 0.57%;5; RAVALOMANANA Marc;TIM
23 13.07%;6; PARAINA Auguste Richard;TT
0 0%;7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
2 1.14%;8; RAZAFINTSIANDRAOFA Jean Brunelle;APM
1 0.57%;9; RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
1 0.57%;10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
4 2.27%;11; RADERANIRINA Sendrison Daniela;Fy-M
2 1.14%;12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
11 6.25%;
