numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;5;2.04%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;3;1.22%
3;RAJOELINA Andry Nirina;TGV;135;55.10%
4;RATSIRAKA Iarovana Roland;MTS;2;0.82%
5;RAVALOMANANA Marc;TIM;21;8.57%
6;PARAINA Auguste Richard;TT;1;0.41%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.41%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;11;4.49%
11;RADERANIRINA Sendrison Daniela;Fy-M;4;1.63%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.41%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;61;24.90%
