numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;3;2.63%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;0;0%
3; RAJOELINA Andry Nirina;TGV;79;69.30%
4; RATSIRAKA Iarovana Roland;MTS;0;0%
5; RAVALOMANANA Marc;TIM;14;12.28%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.88%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;0.88%
11; RADERANIRINA Sendrison Daniela;Fy-M;2;1.75%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;14;12.28%
