numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;7;4.27%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;5;3.05%
3;RAJOELINA Andry Nirina;TGV;78;47.56%
4;RATSIRAKA Iarovana Roland;MTS;3;1.83%
5;RAVALOMANANA Marc;TIM;21;12.80%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.61%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;7;4.27%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.61%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;5;3.05%
11;RADERANIRINA Sendrison Daniela;Fy-M;1;0.61%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;35;21.34%
