numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;2;0.85%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;5;2.13%
3; RAJOELINA Andry Nirina;TGV;176;74.89%
4; RATSIRAKA Iarovana Roland;MTS;3;1.28%
5; RAVALOMANANA Marc;TIM;27;11.49%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;3;1.28%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;2;0.85%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;8;3.40%
11; RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;9;3.83%
