numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;4;1.61%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;3;1.21%
3; RAJOELINA Andry Nirina;TGV;155;62.50%
4; RATSIRAKA Iarovana Roland;MTS;2;0.81%
5; RAVALOMANANA Marc;TIM;37;14.92%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.40%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.40%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;5;2.02%
11; RADERANIRINA Sendrison Daniela;Fy-M;2;0.81%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.40%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;37;14.92%
