numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;4;1.40%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;9;3.15%
3;RAJOELINA Andry Nirina;TGV;189;66.08%
4;RATSIRAKA Iarovana Roland;MTS;2;0.70%
5;RAVALOMANANA Marc;TIM;29;10.14%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;5;1.75%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;3;1.05%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;3;1.05%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;0.35%
11;RADERANIRINA Sendrison Daniela;Fy-M;10;3.50%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;31;10.84%
