numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;2;0.68%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;2;0.68%
3; RAJOELINA Andry Nirina;TGV;234;79.59%
4; RATSIRAKA Iarovana Roland;MTS;1;0.34%
5; RAVALOMANANA Marc;TIM;19;6.46%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;2;0.68%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.34%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;0.68%
11; RADERANIRINA Sendrison Daniela;Fy-M;4;1.36%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;27;9.18%
