numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;1;0.47%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;0;0%
3;RAJOELINA Andry Nirina;TGV;185;87.26%
4;RATSIRAKA Iarovana Roland;MTS;1;0.47%
5;RAVALOMANANA Marc;TIM;16;7.55%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.47%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.47%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.47%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;0.47%
11;RADERANIRINA Sendrison Daniela;Fy-M;2;0.94%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;3;1.42%
