numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;1;0.95%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.95%
3;RAJOELINA Andry Nirina;TGV;51;48.57%
4;RATSIRAKA Iarovana Roland;MTS;2;1.90%
5;RAVALOMANANA Marc;TIM;14;13.33%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;1.90%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;7;6.67%
11;RADERANIRINA Sendrison Daniela;Fy-M;2;1.90%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.95%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;24;22.86%
