numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;0;0%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;4;2.63%
3; RAJOELINA Andry Nirina;TGV;70;46.05%
4; RATSIRAKA Iarovana Roland;MTS;6;3.95%
5; RAVALOMANANA Marc;TIM;40;26.32%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.66%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.66%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;2;1.32%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;6;3.95%
11; RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;22;14.47%
