numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;13;4.50%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;0;0%
3;RAJOELINA Andry Nirina;TGV;225;77.85%
4;RATSIRAKA Iarovana Roland;MTS;0;0%
5;RAVALOMANANA Marc;TIM;27;9.34%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;3;1.04%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.35%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;2;0.69%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;3;1.04%
11;RADERANIRINA Sendrison Daniela;Fy-M;2;0.69%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;13;4.50%
