numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;3;1.26%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;2;0.84%
3; RAJOELINA Andry Nirina;TGV;143;59.83%
4; RATSIRAKA Iarovana Roland;MTS;3;1.26%
5; RAVALOMANANA Marc;TIM;57;23.85%
6; PARAINA Auguste Richard;TT;1;0.42%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;2;0.84%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;5;2.09%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;2;0.84%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;15;6.28%
11; RADERANIRINA Sendrison Daniela;Fy-M;2;0.84%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;4;1.67%
