numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;3;1.09%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;2;0.73%
3;RAJOELINA Andry Nirina;TGV;196;71.53%
4;RATSIRAKA Iarovana Roland;MTS;0;0%
5;RAVALOMANANA Marc;TIM;33;12.04%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;3;1.09%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;4;1.46%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;0.73%
11;RADERANIRINA Sendrison Daniela;Fy-M;5;1.82%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.36%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;25;9.12%
