numero;nom;partie;nombre;pourcentage
Blancs: 5 soit: 2.69% Nuls:11 soit: 5.91%;1;RAZAFINJOELINA Tahina;FTT
5 2.94%;2;ANDRIANAINARIVELO Hajo Herivelona;MMM
1 0.59%;3;RAJOELINA Andry Nirina;TGV
118 69.41%;4;RATSIRAKA Iarovana Roland;MTS
0 0%;5;RAVALOMANANA Marc;TIM
17 10%;6;PARAINA Auguste Richard;TT
0 0%;7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
1 0.59%;8;RAZAFINTSIANDRAOFA Jean Brunelle;APM
1 0.59%;9;RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
0 0%;10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
7 4.12%;11;RADERANIRINA Sendrison Daniela;Fy-M
1 0.59%;12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
19 11.18%;
