numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;1;1.33%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;1;1.33%
3;RAJOELINA Andry Nirina;TGV;26;34.67%
4;RATSIRAKA Iarovana Roland;MTS;1;1.33%
5;RAVALOMANANA Marc;TIM;23;30.67%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;1.33%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;1.33%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;2;2.67%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;1.33%
11;RADERANIRINA Sendrison Daniela;Fy-M;1;1.33%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;17;22.67%
