numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;4;2%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.50%
3;RAJOELINA Andry Nirina;TGV;159;79.50%
4;RATSIRAKA Iarovana Roland;MTS;1;0.50%
5;RAVALOMANANA Marc;TIM;17;8.50%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.50%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;0;0%
11;RADERANIRINA Sendrison Daniela;Fy-M;4;2%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.50%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;12;6%
