numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;8;2.87%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;10;3.58%
3;RAJOELINA Andry Nirina;TGV;193;69.18%
4;RATSIRAKA Iarovana Roland;MTS;4;1.43%
5;RAVALOMANANA Marc;TIM;35;12.54%
6;PARAINA Auguste Richard;TT;1;0.36%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.36%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;4;1.43%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.36%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;10;3.58%
11;RADERANIRINA Sendrison Daniela;Fy-M;1;0.36%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;11;3.94%
