numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;1;0.49%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.49%
3; RAJOELINA Andry Nirina;TGV;134;65.69%
4; RATSIRAKA Iarovana Roland;MTS;1;0.49%
5; RAVALOMANANA Marc;TIM;19;9.31%
6; PARAINA Auguste Richard;TT;1;0.49%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;2;0.98%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.49%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;5;2.45%
11; RADERANIRINA Sendrison Daniela;Fy-M;5;2.45%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.49%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;33;16.18%
