numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;4;1.83%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;2;0.91%
3; RAJOELINA Andry Nirina;TGV;169;77.17%
4; RATSIRAKA Iarovana Roland;MTS;1;0.46%
5; RAVALOMANANA Marc;TIM;26;11.87%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;2;0.91%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.46%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;3;1.37%
11; RADERANIRINA Sendrison Daniela;Fy-M;1;0.46%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.46%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;9;4.11%
