numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;1;0.53%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;3;1.58%
3; RAJOELINA Andry Nirina;TGV;101;53.16%
4; RATSIRAKA Iarovana Roland;MTS;1;0.53%
5; RAVALOMANANA Marc;TIM;15;7.89%
6; PARAINA Auguste Richard;TT;1;0.53%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.53%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;4;2.11%
11; RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;63;33.16%
