numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;4;1.90%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;3;1.42%
3; RAJOELINA Andry Nirina;TGV;170;80.57%
4; RATSIRAKA Iarovana Roland;MTS;0;0%
5; RAVALOMANANA Marc;TIM;11;5.21%
6; PARAINA Auguste Richard;TT;1;0.47%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.47%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.47%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.47%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;0.95%
11; RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;17;8.06%
