numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;2;0.96%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;2;0.96%
3; RAJOELINA Andry Nirina;TGV;160;76.56%
4; RATSIRAKA Iarovana Roland;MTS;1;0.48%
5; RAVALOMANANA Marc;TIM;18;8.61%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.48%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.48%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;0;0%
11; RADERANIRINA Sendrison Daniela;Fy-M;5;2.39%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.48%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;18;8.61%
