numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;2;2.02%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;0;0%
3;RAJOELINA Andry Nirina;TGV;24;24.24%
4;RATSIRAKA Iarovana Roland;MTS;0;0%
5;RAVALOMANANA Marc;TIM;19;19.19%
6;PARAINA Auguste Richard;TT;2;2.02%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;1.01%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;3;3.03%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;3;3.03%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;2.02%
11;RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;1.01%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;42;42.42%
