numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;4;2.68%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.67%
3; RAJOELINA Andry Nirina;TGV;110;73.83%
4; RATSIRAKA Iarovana Roland;MTS;0;0%
5; RAVALOMANANA Marc;TIM;14;9.40%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.67%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.67%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;0;0%
11; RADERANIRINA Sendrison Daniela;Fy-M;1;0.67%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;17;11.41%
