numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;3;1.95%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;3;1.95%
3;RAJOELINA Andry Nirina;TGV;75;48.70%
4;RATSIRAKA Iarovana Roland;MTS;3;1.95%
5;RAVALOMANANA Marc;TIM;40;25.97%
6;PARAINA Auguste Richard;TT;3;1.95%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;1.30%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.65%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;5;3.25%
11;RADERANIRINA Sendrison Daniela;Fy-M;2;1.30%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;17;11.04%
