numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;2;1.55%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;2;1.55%
3; RAJOELINA Andry Nirina;TGV;91;70.54%
4; RATSIRAKA Iarovana Roland;MTS;2;1.55%
5; RAVALOMANANA Marc;TIM;14;10.85%
6; PARAINA Auguste Richard;TT;1;0.78%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;3;2.33%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;4;3.10%
11; RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;2;1.55%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;8;6.20%
