numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;1;0.51%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;2;1.02%
3;RAJOELINA Andry Nirina;TGV;136;69.04%
4;RATSIRAKA Iarovana Roland;MTS;1;0.51%
5;RAVALOMANANA Marc;TIM;20;10.15%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;2;1.02%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.51%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;4;2.03%
11;RADERANIRINA Sendrison Daniela;Fy-M;7;3.55%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;23;11.68%
