numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;0;0%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;3;0.91%
3;RAJOELINA Andry Nirina;TGV;162;48.94%
4;RATSIRAKA Iarovana Roland;MTS;2;0.60%
5;RAVALOMANANA Marc;TIM;63;19.03%
6;PARAINA Auguste Richard;TT;1;0.30%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;0.60%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.30%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;4;1.21%
11;RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;93;28.10%
