numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;0;0%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.47%
3;RAJOELINA Andry Nirina;TGV;159;74.65%
4;RATSIRAKA Iarovana Roland;MTS;1;0.47%
5;RAVALOMANANA Marc;TIM;14;6.57%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;0.94%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.47%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;5;2.35%
11;RADERANIRINA Sendrison Daniela;Fy-M;3;1.41%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.47%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;26;12.21%
