numero;nom;partie;nombre;pourcentage
Blancs: 5 soit: 2.63% Nuls:15 soit: 7.89%;1; RAZAFINJOELINA Tahina;FTT
3 1.76%;2; ANDRIANAINARIVELO Hajo Herivelona;MMM
5 2.94%;3; RAJOELINA Andry Nirina;TGV
83 48.82%;4; RATSIRAKA Iarovana Roland;MTS
3 1.76%;5; RAVALOMANANA Marc;TIM
39 22.94%;6; PARAINA Auguste Richard;TT
0 0%;7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
0 0%;8; RAZAFINTSIANDRAOFA Jean Brunelle;APM
1 0.59%;9; RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
2 1.18%;10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
6 3.53%;11; RADERANIRINA Sendrison Daniela;Fy-M
3 1.76%;12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma
1 0.59%;13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
24 14.12%;
