numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;1;2.17%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;1;2.17%
3;RAJOELINA Andry Nirina;TGV;9;19.57%
4;RATSIRAKA Iarovana Roland;MTS;0;0%
5;RAVALOMANANA Marc;TIM;26;56.52%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;3;6.52%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;2.17%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;4.35%
11;RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;3;6.52%
