numero;nom;partie;nombre;pourcentage
Blancs: 4 soit: 1.90% Nuls:15 soit: 7.11%;1; RAZAFINJOELINA Tahina;FTT
1 0.52%;2; ANDRIANAINARIVELO Hajo Herivelona;MMM
1 0.52%;3; RAJOELINA Andry Nirina;TGV
147 76.56%;4; RATSIRAKA Iarovana Roland;MTS
0 0%;5; RAVALOMANANA Marc;TIM
30 15.63%;6; PARAINA Auguste Richard;TT
0 0%;7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
2 1.04%;8; RAZAFINTSIANDRAOFA Jean Brunelle;APM
1 0.52%;9; RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
0 0%;10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
0 0%;11; RADERANIRINA Sendrison Daniela;Fy-M
1 0.52%;12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
9 4.69%;
