numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;4;1.88%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;9;4.23%
3;RAJOELINA Andry Nirina;TGV;116;54.46%
4;RATSIRAKA Iarovana Roland;MTS;1;0.47%
5;RAVALOMANANA Marc;TIM;67;31.46%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.47%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;2;0.94%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;4;1.88%
11;RADERANIRINA Sendrison Daniela;Fy-M;1;0.47%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;8;3.76%
