numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;3;1.60%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.53%
3; RAJOELINA Andry Nirina;TGV;140;74.87%
4; RATSIRAKA Iarovana Roland;MTS;2;1.07%
5; RAVALOMANANA Marc;TIM;18;9.63%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.53%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;1.07%
11; RADERANIRINA Sendrison Daniela;Fy-M;2;1.07%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;18;9.63%
