numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;1;0.38%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;4;1.53%
3;RAJOELINA Andry Nirina;TGV;215;82.38%
4;RATSIRAKA Iarovana Roland;MTS;0;0%
5;RAVALOMANANA Marc;TIM;12;4.60%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.38%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;0.77%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;2;0.77%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;8;3.07%
11;RADERANIRINA Sendrison Daniela;Fy-M;1;0.38%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.38%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;14;5.36%
