numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;4;1.30%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.33%
3;RAJOELINA Andry Nirina;TGV;255;83.06%
4;RATSIRAKA Iarovana Roland;MTS;4;1.30%
5;RAVALOMANANA Marc;TIM;33;10.75%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.33%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;0.65%
11;RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;7;2.28%
