numero;nom;partie;nombre;pourcentage
Blancs: 7 soit: 3.07% Nuls:4 soit: 1.75%;1; RAZAFINJOELINA Tahina;FTT
4 1.84%;2; ANDRIANAINARIVELO Hajo Herivelona;MMM
0 0%;3; RAJOELINA Andry Nirina;TGV
146 67.28%;4; RATSIRAKA Iarovana Roland;MTS
0 0%;5; RAVALOMANANA Marc;TIM
31 14.29%;6; PARAINA Auguste Richard;TT
0 0%;7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
0 0%;8; RAZAFINTSIANDRAOFA Jean Brunelle;APM
0 0%;9; RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
1 0.46%;10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
9 4.15%;11; RADERANIRINA Sendrison Daniela;Fy-M
3 1.38%;12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
23 10.60%;
