numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;5;2.16%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;5;2.16%
3;RAJOELINA Andry Nirina;TGV;55;23.81%
4;RATSIRAKA Iarovana Roland;MTS;3;1.30%
5;RAVALOMANANA Marc;TIM;134;58.01%
6;PARAINA Auguste Richard;TT;2;0.87%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.43%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.43%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;4;1.73%
11;RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.43%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;20;8.66%
