numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;0;0%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;1;1.69%
3; RAJOELINA Andry Nirina;TGV;25;42.37%
4; RATSIRAKA Iarovana Roland;MTS;0;0%
5; RAVALOMANANA Marc;TIM;17;28.81%
6; PARAINA Auguste Richard;TT;1;1.69%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;1.69%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;0;0%
11; RADERANIRINA Sendrison Daniela;Fy-M;2;3.39%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;12;20.34%
