numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;4;2.14%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;5;2.67%
3;RAJOELINA Andry Nirina;TGV;121;64.71%
4;RATSIRAKA Iarovana Roland;MTS;5;2.67%
5;RAVALOMANANA Marc;TIM;41;21.93%
6;PARAINA Auguste Richard;TT;1;0.53%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.53%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;0.53%
11;RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.53%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;7;3.74%
