numero;nom;partie;nombre;pourcentage
Blancs: 4 soit: 2.58% Nuls:2 soit: 1.29%;1; RAZAFINJOELINA Tahina;FTT
1 0.67%;2; ANDRIANAINARIVELO Hajo Herivelona;MMM
0 0%;3; RAJOELINA Andry Nirina;TGV
106 71.14%;4; RATSIRAKA Iarovana Roland;MTS
2 1.34%;5; RAVALOMANANA Marc;TIM
13 8.72%;6; PARAINA Auguste Richard;TT
0 0%;7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
1 0.67%;8; RAZAFINTSIANDRAOFA Jean Brunelle;APM
1 0.67%;9; RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
2 1.34%;10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
0 0%;11; RADERANIRINA Sendrison Daniela;Fy-M
1 0.67%;12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
22 14.77%;
