numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;1;0.71%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.71%
3;RAJOELINA Andry Nirina;TGV;72;51.43%
4;RATSIRAKA Iarovana Roland;MTS;1;0.71%
5;RAVALOMANANA Marc;TIM;38;27.14%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;3;2.14%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.71%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;2;1.43%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;0.71%
11;RADERANIRINA Sendrison Daniela;Fy-M;1;0.71%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;19;13.57%
