numero;nom;partie;nombre;pourcentage
Blancs: 6 soit: 2.08% Nuls:10 soit: 3.47%;1;RAZAFINJOELINA Tahina;FTT
3 1.10%;2;ANDRIANAINARIVELO Hajo Herivelona;MMM
2 0.74%;3;RAJOELINA Andry Nirina;TGV
212 77.94%;4;RATSIRAKA Iarovana Roland;MTS
0 0%;5;RAVALOMANANA Marc;TIM
20 7.35%;6;PARAINA Auguste Richard;TT
0 0%;7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
2 0.74%;8;RAZAFINTSIANDRAOFA Jean Brunelle;APM
0 0%;9;RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
1 0.37%;10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
1 0.37%;11;RADERANIRINA Sendrison Daniela;Fy-M
0 0%;12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
31 11.40%;
