numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;1;1.56%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;2;3.13%
3;RAJOELINA Andry Nirina;TGV;14;21.88%
4;RATSIRAKA Iarovana Roland;MTS;0;0%
5;RAVALOMANANA Marc;TIM;37;57.81%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;1.56%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;1.56%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;1.56%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;1.56%
11;RADERANIRINA Sendrison Daniela;Fy-M;2;3.13%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;4;6.25%
