numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;0;0%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;0;0%
3; RAJOELINA Andry Nirina;TGV;86;58.90%
4; RATSIRAKA Iarovana Roland;MTS;0;0%
5; RAVALOMANANA Marc;TIM;45;30.82%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.68%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;2;1.37%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;3;2.05%
11; RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;9;6.16%
