numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;6;2.24%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;0;0%
3; RAJOELINA Andry Nirina;TGV;189;70.52%
4; RATSIRAKA Iarovana Roland;MTS;0;0%
5; RAVALOMANANA Marc;TIM;23;8.58%
6; PARAINA Auguste Richard;TT;2;0.75%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;2;0.75%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;0.75%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.37%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;0.37%
11; RADERANIRINA Sendrison Daniela;Fy-M;2;0.75%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;40;14.93%
