numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;5;3.52%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.70%
3;RAJOELINA Andry Nirina;TGV;100;70.42%
4;RATSIRAKA Iarovana Roland;MTS;0;0%
5;RAVALOMANANA Marc;TIM;14;9.86%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.70%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.70%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.70%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;3;2.11%
11;RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;16;11.27%
