numero;nom;partie;nombre;pourcentage
Blancs: 7 soit: 2.72% Nuls:5 soit: 1.95%;1; RAZAFINJOELINA Tahina;FTT
6 2.45%;2; ANDRIANAINARIVELO Hajo Herivelona;MMM
3 1.22%;3; RAJOELINA Andry Nirina;TGV
161 65.71%;4; RATSIRAKA Iarovana Roland;MTS
1 0.41%;5; RAVALOMANANA Marc;TIM
34 13.88%;6; PARAINA Auguste Richard;TT
0 0%;7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
0 0%;8; RAZAFINTSIANDRAOFA Jean Brunelle;APM
1 0.41%;9; RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
0 0%;10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
4 1.63%;11; RADERANIRINA Sendrison Daniela;Fy-M
7 2.86%;12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
28 11.43%;
