numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;2;0.97%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;4;1.94%
3;RAJOELINA Andry Nirina;TGV;173;83.98%
4;RATSIRAKA Iarovana Roland;MTS;1;0.49%
5;RAVALOMANANA Marc;TIM;5;2.43%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.49%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.49%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;0.49%
11;RADERANIRINA Sendrison Daniela;Fy-M;3;1.46%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;15;7.28%
