numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;3;1.02%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;2;0.68%
3; RAJOELINA Andry Nirina;TGV;233;79.25%
4; RATSIRAKA Iarovana Roland;MTS;1;0.34%
5; RAVALOMANANA Marc;TIM;22;7.48%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;4;1.36%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;3;1.02%
11; RADERANIRINA Sendrison Daniela;Fy-M;4;1.36%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;2;0.68%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;20;6.80%
