numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;3;3%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;2;2%
3; RAJOELINA Andry Nirina;TGV;9;9%
4; RATSIRAKA Iarovana Roland;MTS;5;5%
5; RAVALOMANANA Marc;TIM;43;43%
6; PARAINA Auguste Richard;TT;2;2%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;1%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;2%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;4;4%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;4;4%
11; RADERANIRINA Sendrison Daniela;Fy-M;2;2%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;23;23%
