numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;6;2.29%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;3;1.15%
3; RAJOELINA Andry Nirina;TGV;192;73.28%
4; RATSIRAKA Iarovana Roland;MTS;2;0.76%
5; RAVALOMANANA Marc;TIM;22;8.40%
6; PARAINA Auguste Richard;TT;2;0.76%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;3;1.15%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;3;1.15%
11; RADERANIRINA Sendrison Daniela;Fy-M;3;1.15%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;26;9.92%
