numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;0;0%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;5;4.03%
3; RAJOELINA Andry Nirina;TGV;47;37.90%
4; RATSIRAKA Iarovana Roland;MTS;1;0.81%
5; RAVALOMANANA Marc;TIM;44;35.48%
6; PARAINA Auguste Richard;TT;1;0.81%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.81%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.81%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;4;3.23%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;8;6.45%
11; RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.81%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;11;8.87%
