numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;7;3.55%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.51%
3; RAJOELINA Andry Nirina;TGV;141;71.57%
4; RATSIRAKA Iarovana Roland;MTS;0;0%
5; RAVALOMANANA Marc;TIM;21;10.66%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.51%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;1.02%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;0.51%
11; RADERANIRINA Sendrison Daniela;Fy-M;6;3.05%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;17;8.63%
