numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;2;1.14%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;5;2.84%
3;RAJOELINA Andry Nirina;TGV;100;56.82%
4;RATSIRAKA Iarovana Roland;MTS;1;0.57%
5;RAVALOMANANA Marc;TIM;17;9.66%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;2;1.14%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;3;1.70%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.57%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;8;4.55%
11;RADERANIRINA Sendrison Daniela;Fy-M;2;1.14%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;35;19.89%
