numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;3;1.71%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;0;0%
3; RAJOELINA Andry Nirina;TGV;121;69.14%
4; RATSIRAKA Iarovana Roland;MTS;1;0.57%
5; RAVALOMANANA Marc;TIM;39;22.29%
6; PARAINA Auguste Richard;TT;1;0.57%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.57%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.57%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;1.14%
11; RADERANIRINA Sendrison Daniela;Fy-M;1;0.57%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;5;2.86%
