numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;9;2.97%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;0;0%
3;RAJOELINA Andry Nirina;TGV;243;80.20%
4;RATSIRAKA Iarovana Roland;MTS;1;0.33%
5;RAVALOMANANA Marc;TIM;25;8.25%
6;PARAINA Auguste Richard;TT;1;0.33%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;0.66%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;0.66%
11;RADERANIRINA Sendrison Daniela;Fy-M;6;1.98%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;14;4.62%
