numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;2;0.85%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.43%
3; RAJOELINA Andry Nirina;TGV;182;77.45%
4; RATSIRAKA Iarovana Roland;MTS;1;0.43%
5; RAVALOMANANA Marc;TIM;20;8.51%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;2;0.85%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;0.43%
11; RADERANIRINA Sendrison Daniela;Fy-M;2;0.85%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;24;10.21%
