numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;1;0.95%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;3;2.86%
3; RAJOELINA Andry Nirina;TGV;30;28.57%
4; RATSIRAKA Iarovana Roland;MTS;4;3.81%
5; RAVALOMANANA Marc;TIM;43;40.95%
6; PARAINA Auguste Richard;TT;2;1.90%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.95%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;1.90%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;5;4.76%
11; RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;14;13.33%
