numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;3;0.83%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.28%
3;RAJOELINA Andry Nirina;TGV;299;82.60%
4;RATSIRAKA Iarovana Roland;MTS;0;0%
5;RAVALOMANANA Marc;TIM;20;5.52%
6;PARAINA Auguste Richard;TT;1;0.28%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;3;0.83%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;3;0.83%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;0.28%
11;RADERANIRINA Sendrison Daniela;Fy-M;5;1.38%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;26;7.18%
