numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;1;1.32%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;1;1.32%
3; RAJOELINA Andry Nirina;TGV;26;34.21%
4; RATSIRAKA Iarovana Roland;MTS;1;1.32%
5; RAVALOMANANA Marc;TIM;32;42.11%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;1.32%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;3;3.95%
11; RADERANIRINA Sendrison Daniela;Fy-M;1;1.32%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;10;13.16%
