numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;3;1.17%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;12;4.69%
3; RAJOELINA Andry Nirina;TGV;35;13.67%
4; RATSIRAKA Iarovana Roland;MTS;12;4.69%
5; RAVALOMANANA Marc;TIM;164;64.06%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.39%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;5;1.95%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;4;1.56%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;5;1.95%
11; RADERANIRINA Sendrison Daniela;Fy-M;1;0.39%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;14;5.47%
