numero;nom;partie;nombre;pourcentage
Blancs: 5 soit: 2.78% Nuls:4 soit: 2.22%;1;RAZAFINJOELINA Tahina;FTT
4 2.34%;2;ANDRIANAINARIVELO Hajo Herivelona;MMM
0 0%;3;RAJOELINA Andry Nirina;TGV
127 74.27%;4;RATSIRAKA Iarovana Roland;MTS
2 1.17%;5;RAVALOMANANA Marc;TIM
22 12.87%;6;PARAINA Auguste Richard;TT
1 0.58%;7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
1 0.58%;8;RAZAFINTSIANDRAOFA Jean Brunelle;APM
0 0%;9;RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
0 0%;10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
0 0%;11;RADERANIRINA Sendrison Daniela;Fy-M
1 0.58%;12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
13 7.60%;
